frame_idx,match_rank,distance,kl1_sx,kl1_sy,kl1_ex,kl1_ey,kl1_angle,kl1_length,kl2_sx,kl2_sy,kl2_ex,kl2_ey,kl2_angle,kl2_length
2,88,8.0,815.60,87.59,988.12,93.24,0.0327,172.61,816.84,86.57,989.37,92.06,0.0318,172.61
2,89,8.0,1624.61,667.33,1787.04,715.05,0.2857,169.30,1625.67,666.73,1787.31,714.14,0.2853,168.45
2,90,9.0,1384.50,605.63,1390.16,439.36,-1.5368,166.37,1387.30,564.35,1393.74,365.65,-1.5384,198.81
2,91,19.0,1628.85,641.70,1789.18,685.11,0.2644,166.10,1629.92,641.10,1795.23,685.84,0.2643,171.25
2,92,0.0,1604.25,47.73,1760.10,0.00,-0.2972,162.99,1606.67,46.23,1757.60,0.00,-0.2972,157.84
2,93,12.0,1046.06,87.53,1177.70,0.00,-0.5868,158.09,1047.38,86.39,1177.52,0.00,-0.5860,156.20
2,94,5.0,1039.49,88.29,1170.30,0.15,-0.5929,157.74,1040.82,87.17,1170.12,0.00,-0.5932,155.93
2,95,4.0,1033.67,88.34,1163.71,0.00,-0.5967,157.21,1035.28,86.95,1163.55,0.00,-0.5957,154.96
2,96,10.0,814.02,89.34,819.57,244.41,1.5350,155.17,815.19,88.10,820.52,238.17,1.5353,150.17
2,97,17.0,417.07,1014.63,570.80,994.50,-0.1302,155.05,418.15,1014.58,800.74,962.74,-0.1347,386.09
2,98,2.0,790.37,0.63,796.24,153.10,1.5323,152.58,791.48,0.64,797.22,148.11,1.5319,147.58
2,99,1.0,124.35,1026.70,274.32,1008.89,-0.1182,151.02,105.68,1028.58,275.50,1008.33,-0.1187,171.02
2,100,20.0,1070.71,926.30,1218.15,908.30,-0.1215,148.53,873.23,952.65,1219.29,907.50,-0.1297,349.00
2,101,6.0,1601.99,44.73,1742.80,0.00,-0.3076,147.74,1605.56,42.93,1740.30,0.00,-0.3084,141.41
